id_mutation;date_mutation;numero_disposition;nature_mutation;valeur_fonciere;adresse_numero;adresse_suffixe;adresse_nom_voie;adresse_code_voie;code_postal;code_commune;nom_commune;code_departement;ancien_code_commune;ancien_nom_commune;id_parcelle;ancien_id_parcelle;numero_volume;lot1_numero;lot1_surface_carrez;lot2_numero;lot2_surface_carrez;lot3_numero;lot3_surface_carrez;lot4_numero;lot4_surface_carrez;lot5_numero;lot5_surface_carrez;nombre_lots;code_type_local;type_local;surface_reelle_bati;nombre_pieces_principales;code_nature_culture;nature_culture;code_nature_culture_speciale;nature_culture_speciale;surface_terrain;longitude;latitude;section_prefixe
"2024-273231";"2024-06-28";"1";"Vente";"71000.0";"18.0";"None";"RUE PAUL BERT";"5950";"49100";"49007";"Angers";"49";"None";"None";"49007000CY0250";"None";"None";"29";"20.5";"None";"nan";"None";"nan";"None";"nan";"None";"None";"1";"2";"Appartement";"20.0";"1.0";"None";"None";"None";"None";"nan";"-0.551283";"47.465483";"000CY"
"2024-273682";"2024-06-28";"1";"Vente";"125000.0";"2.0";"None";"ALL DU HARAS";"3839";"49100";"49007";"Angers";"49";"None";"None";"49007000CY0820";"None";"None";"33";"49.38";"86";"nan";"None";"nan";"None";"nan";"None";"None";"2";"2";"Appartement";"49.0";"2.0";"None";"None";"None";"None";"nan";"-0.552521";"47.465974";"000CY"
"2024-273231";"2024-06-28";"1";"Vente";"71000.0";"18.0";"None";"RUE PAUL BERT";"5950";"49100";"49007";"Angers";"49";"None";"None";"49007000CY0250";"None";"None";"8";"nan";"None";"nan";"None";"nan";"None";"nan";"None";"None";"1";"3";"Dépendance";"nan";"0.0";"None";"None";"None";"None";"nan";"-0.551283";"47.465483";"000CY"
"2024-273682";"2024-06-28";"1";"Vente";"125000.0";"2.0";"None";"ALL DU HARAS";"3839";"49100";"49007";"Angers";"49";"None";"None";"49007000CY0820";"None";"None";"33";"49.38";"86";"nan";"None";"nan";"None";"nan";"None";"None";"2";"3";"Dépendance";"nan";"0.0";"None";"None";"None";"None";"nan";"-0.552521";"47.465974";"000CY"
"2024-273223";"2024-06-24";"1";"Vente";"154000.0";"48.0";"F";"RUE DE BRISSAC";"1280";"49000";"49007";"Angers";"49";"None";"None";"49007000CY0846";"None";"None";"121";"nan";"171";"nan";"None";"nan";"None";"nan";"None";"None";"2";"2";"Appartement";"36.0";"1.0";"None";"None";"None";"None";"nan";"-0.548241";"47.46009";"000CY"
"2024-273223";"2024-06-24";"1";"Vente";"154000.0";"48.0";"F";"RUE DE BRISSAC";"1280";"49000";"49007";"Angers";"49";"None";"None";"49007000CY0846";"None";"None";"121";"nan";"171";"nan";"None";"nan";"None";"nan";"None";"None";"2";"3";"Dépendance";"nan";"0.0";"None";"None";"None";"None";"nan";"-0.548241";"47.46009";"000CY"
"2024-273260";"2024-06-20";"1";"Vente";"135000.0";"48.0";"F";"RUE DE BRISSAC";"1280";"49000";"49007";"Angers";"49";"None";"None";"49007000CY0846";"None";"None";"119";"nan";"169";"nan";"None";"nan";"None";"nan";"None";"None";"2";"2";"Appartement";"36.0";"1.0";"None";"None";"None";"None";"nan";"-0.548241";"47.46009";"000CY"
"2024-273739";"2024-06-20";"1";"Vente";"200000.0";"15.0";"G";"RUE LETANDUERE";"4790";"49000";"49007";"Angers";"49";"None";"None";"49007000CY0751";"None";"None";"116";"nan";"94";"46.68";"None";"nan";"None";"nan";"None";"None";"2";"2";"Appartement";"46.0";"2.0";"None";"None";"None";"None";"nan";"-0.554072";"47.460821";"000CY"
"2024-273260";"2024-06-20";"1";"Vente";"135000.0";"48.0";"F";"RUE DE BRISSAC";"1280";"49000";"49007";"Angers";"49";"None";"None";"49007000CY0846";"None";"None";"119";"nan";"169";"nan";"None";"nan";"None";"nan";"None";"None";"2";"3";"Dépendance";"nan";"0.0";"None";"None";"None";"None";"nan";"-0.548241";"47.46009";"000CY"
"2024-273739";"2024-06-20";"1";"Vente";"200000.0";"15.0";"G";"RUE LETANDUERE";"4790";"49000";"49007";"Angers";"49";"None";"None";"49007000CY0751";"None";"None";"116";"nan";"94";"46.68";"None";"nan";"None";"nan";"None";"None";"2";"3";"Dépendance";"nan";"0.0";"None";"None";"None";"None";"nan";"-0.554072";"47.460821";"000CY"
"2024-273739";"2024-06-20";"1";"Vente";"200000.0";"10.0";"B";"RUE EVAIN";"2960";"49000";"49007";"Angers";"49";"None";"None";"49007000CY0752";"None";"None";"9";"nan";"None";"nan";"None";"nan";"None";"nan";"None";"None";"1";"3";"Dépendance";"nan";"0.0";"None";"None";"None";"None";"nan";"-0.553308";"47.460825";"000CY"
