id_mutation;date_mutation;numero_disposition;nature_mutation;valeur_fonciere;adresse_numero;adresse_suffixe;adresse_nom_voie;adresse_code_voie;code_postal;code_commune;nom_commune;code_departement;ancien_code_commune;ancien_nom_commune;id_parcelle;ancien_id_parcelle;numero_volume;lot1_numero;lot1_surface_carrez;lot2_numero;lot2_surface_carrez;lot3_numero;lot3_surface_carrez;lot4_numero;lot4_surface_carrez;lot5_numero;lot5_surface_carrez;nombre_lots;code_type_local;type_local;surface_reelle_bati;nombre_pieces_principales;code_nature_culture;nature_culture;code_nature_culture_speciale;nature_culture_speciale;surface_terrain;longitude;latitude;section_prefixe
"2024-273319";"2024-06-28";"1";"Vente";"362000.0";"37.0";"None";"RUE DELAAGE";"2320";"49100";"49007";"Angers";"49";"None";"None";"49007000DH0684";"None";"None";"121";"nan";"146";"nan";"None";"nan";"None";"nan";"None";"nan";"2";"2";"Appartement";"98.0";"4.0";"None";"None";"None";"None";"nan";"-0.555537";"47.466913";"000DH"
"2024-273319";"2024-06-28";"1";"Vente";"362000.0";"37.0";"None";"RUE DELAAGE";"2320";"49100";"49007";"Angers";"49";"None";"None";"49007000DH0684";"None";"None";"121";"nan";"146";"nan";"None";"nan";"None";"nan";"None";"nan";"2";"3";"Dépendance";"nan";"0.0";"None";"None";"None";"None";"nan";"-0.555537";"47.466913";"000DH"
"2024-273319";"2024-06-28";"1";"Vente";"362000.0";"43.0";"B";"RUE DELAAGE";"2320";"49100";"49007";"Angers";"49";"None";"None";"49007000DH0684";"None";"None";"315";"nan";"None";"nan";"None";"nan";"None";"nan";"None";"nan";"1";"3";"Dépendance";"nan";"0.0";"None";"None";"None";"None";"nan";"-0.555537";"47.466913";"000DH"
"2024-273319";"2024-06-28";"1";"Vente";"362000.0";"37.0";"None";"RUE DELAAGE";"2320";"49100";"49007";"Angers";"49";"None";"None";"49007000DH0684";"None";"None";"121";"nan";"146";"nan";"None";"nan";"None";"nan";"None";"nan";"2";"3";"Dépendance";"nan";"0.0";"None";"None";"None";"None";"nan";"-0.555537";"47.466913";"000DH"
"2024-273660";"2024-06-25";"1";"Vente";"112500.0";"43.0";"None";"RUE TOUSSAINT";"7680";"49100";"49007";"Angers";"49";"None";"None";"49007000DH0431";"None";"None";"2";"17.25";"None";"nan";"None";"nan";"None";"nan";"None";"nan";"1";"2";"Appartement";"15.0";"1.0";"None";"None";"None";"None";"nan";"-0.556787";"47.469153";"000DH"
"2024-272861";"2024-06-24";"1";"Vente";"195000.0";"9.0";"None";"RUE DES JACOBINS";"4130";"49100";"49007";"Angers";"49";"None";"None";"49007000DH0894";"None";"None";"12";"49.12";"None";"nan";"None";"nan";"None";"nan";"None";"nan";"1";"2";"Appartement";"49.0";"4.0";"None";"None";"None";"None";"nan";"-0.5562";"47.470657";"000DH"
"2024-273422";"2024-06-17";"1";"Vente";"190000.0";"9.0";"None";"RUE DES JACOBINS";"4130";"49100";"49007";"Angers";"49";"None";"None";"49007000DH0894";"None";"None";"8";"39.65";"None";"nan";"None";"nan";"None";"nan";"None";"nan";"1";"2";"Appartement";"40.0";"2.0";"None";"None";"None";"None";"nan";"-0.5562";"47.470657";"000DH"
"2024-273007";"2024-06-14";"1";"Vente";"178000.0";"19.0";"None";"RUE DES LICES";"4810";"49100";"49007";"Angers";"49";"None";"None";"49007000DH0206";"None";"None";"1";"57.6";"None";"nan";"None";"nan";"None";"nan";"None";"nan";"1";"4";"Local industriel. commercial ou assimilé";"60.0";"0.0";"None";"None";"None";"None";"nan";"-0.554097";"47.468315";"000DH"
"2024-272915";"2024-06-12";"1";"Vente";"390000.0";"37.0";"None";"BD DU ROI RENE";"6980";"49100";"49007";"Angers";"49";"None";"None";"49007000DH0141";"None";"None";"16";"92.7";"None";"nan";"None";"nan";"None";"nan";"None";"nan";"1";"2";"Appartement";"93.0";"4.0";"None";"None";"None";"None";"nan";"-0.555754";"47.467895";"000DH"
"2024-272915";"2024-06-12";"1";"Vente";"390000.0";"37.0";"None";"BD DU ROI RENE";"6980";"49100";"49007";"Angers";"49";"None";"None";"49007000DH0141";"None";"None";"13";"nan";"21";"nan";"None";"nan";"None";"nan";"None";"nan";"2";"3";"Dépendance";"nan";"0.0";"None";"None";"None";"None";"nan";"-0.555754";"47.467895";"000DH"
