id_mutation;date_mutation;numero_disposition;nature_mutation;valeur_fonciere;adresse_numero;adresse_suffixe;adresse_nom_voie;adresse_code_voie;code_postal;code_commune;nom_commune;code_departement;ancien_code_commune;ancien_nom_commune;id_parcelle;ancien_id_parcelle;numero_volume;lot1_numero;lot1_surface_carrez;lot2_numero;lot2_surface_carrez;lot3_numero;lot3_surface_carrez;lot4_numero;lot4_surface_carrez;lot5_numero;lot5_surface_carrez;nombre_lots;code_type_local;type_local;surface_reelle_bati;nombre_pieces_principales;code_nature_culture;nature_culture;code_nature_culture_speciale;nature_culture_speciale;surface_terrain;longitude;latitude;section_prefixe
"2024-273198";"2024-06-28";"1";"Vente";"480000.0";"12.0";"None";"RUE DU TEMPLE";"7520";"49100";"49007";"Angers";"49";"None";"None";"49007000DI0246";"None";"None";"11";"115.02";"13";"nan";"None";"nan";"None";"nan";"None";"nan";"2";"2";"Appartement";"115.0";"4.0";"None";"None";"None";"None";"nan";"-0.56032";"47.46642";"000DI"
"2024-273198";"2024-06-28";"1";"Vente";"480000.0";"12.0";"None";"RUE DU TEMPLE";"7520";"49100";"49007";"Angers";"49";"None";"None";"49007000DI0246";"None";"None";"11";"115.02";"13";"nan";"None";"nan";"None";"nan";"None";"nan";"2";"3";"Dépendance";"nan";"0.0";"None";"None";"None";"None";"nan";"-0.56032";"47.46642";"000DI"
"2024-273198";"2024-06-28";"1";"Vente";"480000.0";"12.0";"None";"RUE DU TEMPLE";"7520";"49100";"49007";"Angers";"49";"None";"None";"49007000DI0246";"None";"None";"11";"115.02";"13";"nan";"None";"nan";"None";"nan";"None";"nan";"2";"3";"Dépendance";"nan";"0.0";"None";"None";"None";"None";"nan";"-0.56032";"47.46642";"000DI"
"2024-273198";"2024-06-28";"1";"Vente";"480000.0";"12.0";"None";"RUE DU TEMPLE";"7520";"49100";"49007";"Angers";"49";"None";"None";"49007000DI0246";"None";"None";"11";"115.02";"13";"nan";"None";"nan";"None";"nan";"None";"nan";"2";"3";"Dépendance";"nan";"0.0";"None";"None";"None";"None";"nan";"-0.56032";"47.46642";"000DI"
"2024-273198";"2024-06-28";"1";"Vente";"480000.0";"12.0";"None";"RUE DU TEMPLE";"7520";"49100";"49007";"Angers";"49";"None";"None";"49007000DI0246";"None";"None";"11";"115.02";"13";"nan";"None";"nan";"None";"nan";"None";"nan";"2";"3";"Dépendance";"nan";"0.0";"None";"None";"None";"None";"nan";"-0.56032";"47.46642";"000DI"
"2024-273198";"2024-06-28";"1";"Vente";"480000.0";"12.0";"None";"RUE DU TEMPLE";"7520";"49100";"49007";"Angers";"49";"None";"None";"49007000DI0246";"None";"None";"11";"115.02";"13";"nan";"None";"nan";"None";"nan";"None";"nan";"2";"3";"Dépendance";"nan";"0.0";"None";"None";"None";"None";"nan";"-0.56032";"47.46642";"000DI"
"2024-273795";"2024-06-28";"1";"Vente";"323020.0";"10.0";"None";"RUE HOCHE";"4040";"49100";"49007";"Angers";"49";"None";"None";"49007000DI0149";"None";"None";"1";"182.2";"6";"nan";"7";"nan";"None";"nan";"None";"nan";"3";"4";"Local industriel. commercial ou assimilé";"150.0";"0.0";"None";"None";"None";"None";"nan";"-0.558526";"47.467301";"000DI"
"2024-273314";"2024-06-27";"1";"Vente";"315900.0";"16.0";"None";"BD DU GEN DE GAULLE";"3465";"49100";"49007";"Angers";"49";"None";"None";"49007000DI0111";"None";"None";"3";"82.43";"6";"nan";"9";"nan";"None";"nan";"None";"nan";"3";"2";"Appartement";"89.0";"4.0";"None";"None";"None";"None";"nan";"-0.560916";"47.469168";"000DI"
"2024-273314";"2024-06-27";"1";"Vente";"315900.0";"16.0";"None";"BD DU GEN DE GAULLE";"3465";"49100";"49007";"Angers";"49";"None";"None";"49007000DI0111";"None";"None";"3";"82.43";"6";"nan";"9";"nan";"None";"nan";"None";"nan";"3";"3";"Dépendance";"nan";"0.0";"None";"None";"None";"None";"nan";"-0.560916";"47.469168";"000DI"
"2024-273314";"2024-06-27";"1";"Vente";"315900.0";"16.0";"None";"BD DU GEN DE GAULLE";"3465";"49100";"49007";"Angers";"49";"None";"None";"49007000DI0111";"None";"None";"3";"82.43";"6";"nan";"9";"nan";"None";"nan";"None";"nan";"3";"3";"Dépendance";"nan";"0.0";"None";"None";"None";"None";"nan";"-0.560916";"47.469168";"000DI"
