id_mutation;date_mutation;numero_disposition;nature_mutation;valeur_fonciere;adresse_numero;adresse_suffixe;adresse_nom_voie;adresse_code_voie;code_postal;code_commune;nom_commune;code_departement;ancien_code_commune;ancien_nom_commune;id_parcelle;ancien_id_parcelle;numero_volume;lot1_numero;lot1_surface_carrez;lot2_numero;lot2_surface_carrez;lot3_numero;lot3_surface_carrez;lot4_numero;lot4_surface_carrez;lot5_numero;lot5_surface_carrez;nombre_lots;code_type_local;type_local;surface_reelle_bati;nombre_pieces_principales;code_nature_culture;nature_culture;code_nature_culture_speciale;nature_culture_speciale;surface_terrain;longitude;latitude;section_prefixe
"2024-273823";"2024-06-28";"1";"Vente";"425000.0";"1.0";"B";"RUE DESPORTES";"2420";"49000";"49007";"Angers";"49";"None";"None";"49007000DK0129";"None";"None";"None";"nan";"None";"nan";"None";"nan";"None";"nan";"None";"nan";"0";"1";"Maison";"140.0";"5.0";"S";"sols";"None";"None";"133.0";"-0.55539";"47.462434";"000DK"
"2024-273823";"2024-06-28";"1";"Vente";"425000.0";"1.0";"B";"RUE DESPORTES";"2420";"49000";"49007";"Angers";"49";"None";"None";"49007000DK0129";"None";"None";"None";"nan";"None";"nan";"None";"nan";"None";"nan";"None";"nan";"0";"4";"Local industriel. commercial ou assimilé";"19.0";"0.0";"S";"sols";"None";"None";"133.0";"-0.55539";"47.462434";"000DK"
"2024-273335";"2024-06-12";"1";"Vente";"159000.0";"10.0";"None";"RUE DE LA GARE";"3360";"49100";"49007";"Angers";"49";"None";"None";"49007000DK0448";"None";"None";"12";"51.52";"None";"nan";"None";"nan";"None";"nan";"None";"nan";"1";"3";"Dépendance";"nan";"0.0";"None";"None";"None";"None";"nan";"-0.557374";"47.465769";"000DK"
"2024-272829";"2024-06-05";"1";"Vente";"500000.0";"9.0";"None";"RUE EUGENE ROINET";"2940";"49000";"49007";"Angers";"49";"None";"None";"49007000DK0460";"None";"None";"None";"nan";"None";"nan";"None";"nan";"None";"nan";"None";"nan";"0";"1";"Maison";"156.0";"7.0";"S";"sols";"None";"None";"217.0";"-0.560156";"47.461405";"000DK"
"2024-272063";"2024-06-05";"1";"Vente";"69000.0";"19.0";"None";"RUE AUDUSSON";"0410";"49000";"49007";"Angers";"49";"None";"None";"49007000DK0606";"None";"None";"27";"34.9";"62";"nan";"None";"nan";"None";"nan";"None";"nan";"2";"2";"Appartement";"34.0";"1.0";"None";"None";"None";"None";"nan";"-0.555862";"47.462685";"000DK"
"2024-272063";"2024-06-05";"1";"Vente";"69000.0";"19.0";"None";"RUE AUDUSSON";"0410";"49000";"49007";"Angers";"49";"None";"None";"49007000DK0606";"None";"None";"27";"34.9";"62";"nan";"None";"nan";"None";"nan";"None";"nan";"2";"3";"Dépendance";"nan";"0.0";"None";"None";"None";"None";"nan";"-0.555862";"47.462685";"000DK"
"2024-272578";"2024-05-27";"1";"Vente";"527000.0";"66.0";"None";"RUE LETANDUERE";"4790";"49000";"49007";"Angers";"49";"None";"None";"49007000DK0164";"None";"None";"None";"nan";"None";"nan";"None";"nan";"None";"nan";"None";"nan";"0";"1";"Maison";"224.0";"10.0";"S";"sols";"None";"None";"107.0";"-0.55494";"47.461108";"000DK"
"2024-272578";"2024-05-27";"1";"Vente";"527000.0";"27.0";"None";"RUE DE TERRE NOIRE";"7550";"49000";"49007";"Angers";"49";"None";"None";"49007000DK0629";"None";"None";"None";"nan";"None";"nan";"None";"nan";"None";"nan";"None";"nan";"0";"None";"None";"nan";"nan";"S";"sols";"None";"None";"9.0";"-0.555003";"47.461159";"000DK"
"2024-271613";"2024-05-22";"1";"Vente";"147000.0";"36.0";"None";"RUE JEAN PERRIN";"4300";"49000";"49007";"Angers";"49";"None";"None";"49007000DK0536";"None";"None";"11";"nan";"None";"nan";"None";"nan";"None";"nan";"None";"nan";"1";"2";"Appartement";"48.0";"2.0";"None";"None";"None";"None";"nan";"-0.560913";"47.46108";"000DK"
"2024-271679";"2024-05-22";"1";"Vente";"378000.0";"35.0";"None";"RUE AUDUSSON";"0410";"49000";"49007";"Angers";"49";"None";"None";"49007000DK0189";"None";"None";"7";"99.97";"9";"nan";"None";"nan";"None";"nan";"None";"nan";"2";"2";"Appartement";"86.0";"4.0";"None";"None";"None";"None";"nan";"-0.557219";"47.461789";"000DK"
"2024-271613";"2024-05-22";"1";"Vente";"147000.0";"36.0";"None";"RUE JEAN PERRIN";"4300";"49000";"49007";"Angers";"49";"None";"None";"49007000DK0536";"None";"None";"24";"nan";"None";"nan";"None";"nan";"None";"nan";"None";"nan";"1";"3";"Dépendance";"nan";"0.0";"None";"None";"None";"None";"nan";"-0.560913";"47.46108";"000DK"
"2024-271679";"2024-05-22";"1";"Vente";"378000.0";"35.0";"None";"RUE AUDUSSON";"0410";"49000";"49007";"Angers";"49";"None";"None";"49007000DK0189";"None";"None";"22";"nan";"None";"nan";"None";"nan";"None";"nan";"None";"nan";"1";"3";"Dépendance";"nan";"0.0";"None";"None";"None";"None";"nan";"-0.557219";"47.461789";"000DK"
"2024-271679";"2024-05-22";"1";"Vente";"378000.0";"35.0";"None";"RUE AUDUSSON";"0410";"49000";"49007";"Angers";"49";"None";"None";"49007000DK0189";"None";"None";"7";"99.97";"9";"nan";"None";"nan";"None";"nan";"None";"nan";"2";"3";"Dépendance";"nan";"0.0";"None";"None";"None";"None";"nan";"-0.557219";"47.461789";"000DK"
"2024-272428";"2024-05-17";"1";"Vente";"290000.0";"17.0";"None";"RUE BOUGERE";"1090";"49000";"49007";"Angers";"49";"None";"None";"49007000DK0071";"None";"None";"3";"nan";"None";"nan";"None";"nan";"None";"nan";"None";"nan";"1";"2";"Appartement";"88.0";"4.0";"None";"None";"None";"None";"nan";"-0.55716";"47.463038";"000DK"
